job_hash,title,company,confidence_score,fit_reasoning,contact_info,job_link,timestamp
fe569820b3bcfc861e4c53e054d2e89dde02f2f8dc280963d08a3ce815d3b44c,Junior Marketing Specialist,Zimark,2,"The role is for a Junior Marketing Specialist, which does not align with the candidate's target role of Data Analyst. The required skills and responsibilities are focused on marketing rather than data analysis, making it a poor fit.","Dror Wayne, linkedin.com/in/drorwayne",https://www.linkedin.com/jobs/view/4385468728/,2026-03-22T21:48:08.554290+00:00
3306132a725e08d4a3721ead0a54384ef486ea109a8372a4a75a59fc91444201,Night Operator Student,Stratsys,2,"The role is an internship for a Mechanical engineer student, which does not align with the candidate's target role as a Data Analyst. The technical skills required are also not relevant to the candidate's expertise in data analysis, Python, and SQL.",,https://careers.stratasys.com/job/%28On-Site%29-Rehovot-Night-Operator-Student/1372149900/,2026-03-22T21:48:08.558352+00:00
68ca60aea85b2c1b6a75170fdde2a5d7fe408369d814869643fea3418289d7cc,"Global Planner, Floor Controller Student",Stratsys,2,"The role is an internship requiring a background in Industrial Engineering or related fields, which does not align with the candidate's focus on data analysis and BI tools. Additionally, the location is not preferred, and the tech stack does not match the candidate's skills.",,https://careers.stratasys.com/job/Kiryat-Gat-Global-Planner%2C-Floor-Controller-Student/1369906000/,2026-03-22T21:48:08.561417+00:00
52a250ebb4b347c0741068431cfe36725c3ac0a41cec6bd27131dc647b51d802,Verification Student for the SoC group,Sony Semiconductor Israel,3,"The role is an internship with no specific data analysis or BI tools mentioned, which does not align well with the candidate's focus on data analytics. However, it is a junior position and requires no prior experience.",,https://sony-semicon.co.il/job-search/?uid=43.363,2026-03-22T21:48:08.564958+00:00
69d1be146a0cc6b7bd3e73822c486bc2cf6cc3a3262035f808bf340e707b0947,Tax Analyst,Stratsys,2,"The role is for a Tax Analyst requiring 4+ years of experience, which exceeds the candidate's target level of junior to mid. The technical skills and domain preferences do not align with the candidate's profile.",,https://careers.stratasys.com/job/Rehovot-%28Hybrid%29-Tax-Analyst-IL/1370435400/,2026-03-22T21:48:08.568391+00:00
25dae22048e511507110091c31c3f53ebe423b459511756a8c27cb5bc6acbc81,FP&A Business Partner,Similarweb,4,"The role requires 3 years of experience, which exceeds the candidate's target level of junior to mid. While SQL is a match, the focus on financial analysis and FP&A is not aligned with the candidate's primary interest in data analytics and BI.",,https://job-boards.greenhouse.io/similarweb/jobs/7634833,2026-03-22T21:48:08.571993+00:00
6b4a93287f7326a2cd4beeba317bc2f6f0924801de1846e4bfd32bb9af4e12be,FP&A Business Partner (Maternity Leave Replacement),Similarweb,3,"The role requires 4 years of experience, which exceeds the candidate's target level of junior to mid. The focus is on financial analysis rather than data analytics, which is not aligned with the candidate's primary skills in data analysis and BI tools.",,https://job-boards.greenhouse.io/similarweb/jobs/7634986,2026-03-22T21:48:08.575557+00:00
c79e6bdd4f60c3b56d4ba0e2b67370d2fb0a33f4711fc32a0e12cd883d8ce9ff,AI & LLM Data Analyst,Similarweb,3,"The role requires 4+ years of experience, which exceeds the candidate's target level of junior to mid. While the tech stack includes Python and SQL, the focus on large-scale data and additional tools like Spark or BigQuery may not align with the candidate's experience.",,https://job-boards.greenhouse.io/similarweb/jobs/7597693,2026-03-22T21:48:08.579059+00:00
0ed58fa74f4b4bb173987013e0c08c658fb2e80e75105490c52f45cd63a5de99,Commission Analysts Team Lead,Similarweb,2,"The role is for a Team Lead position requiring 5 years of experience, which is not aligned with the candidate's target level of Junior to Mid and their experience level.",,https://job-boards.greenhouse.io/similarweb/jobs/7252360,2026-03-22T21:48:08.582724+00:00
ad854b6f09690e3ddea78f60ce6eac15fe5bc2597363cebeed9b8981937c016e,Compliance analyst,Kissterra,5,"The role mentions analytical skills and BI tools, which aligns with the candidate's experience in data analysis and BI tools like Power BI. However, it lacks a direct mention of Python or SQL, and the focus on compliance may not fully match the candidate's primary interest in data analytics.",,https://secrethunter.io/jobz/a85814d8f3?utm_source=telegram,2026-03-22T21:48:08.585916+00:00
